position,user,score
1,xiaowuc1,3257
2,tckmn,3174
3,5space,2909
4,nthistle,2486
5,jonathanpaulson,2484
6,Antonio Molina ,2476
7,dan-simon,2404
8,bluepichu,2370
9,leijurv,2285
10,boboquack,2241
11,hyper-neutrino,2226
12,D. Salgado,2198
13,Ian DeHaan,2092
14,Noble Mushtak,2046
15,Anish Singhani,2034
16,Oskar Haarklou Veileborg,1992
17,Oliver Ni,1930
18,Carl Schildkraut,1874
19,Lewin Gan,1725
20,Robert Xiao,1691
21,ruuddotorg,1586
22,mserrano,1567
23,Kevin Sheng,1525
24,Balint R,1520
25,Kroppeb,1507
26,Oleksandr Nikitin,1503
27,mrphlip,1500
28,Nathan Fenner,1492
29,nim-ka,1481
30,Egor Kulikov ,1426
31,scanhex,1376
32,zacharybarbanell,1375
33,Adavya Goyal,1351
34,anonymous user #1510407,1340
35,Joseph Durie,1330
36,Vladislav Isenbaev,1322
37,Neal Wu,1299
38,Erik Amirell Eklöf,1275
39,Lovemathboy H,1274
40,Yoshiap,1254
41,PCSwingle,1236
42,Ryan Hitchman,1177
43,Jan Verbeek,1171
44,LegionMammal978,1167
45,Davis Yoshida ,1145
46,Ross Dempsey,1144
47,Thomas Neill,1132
48,Looking for blog readers!,1101
49,int-e,1079
50,Magnus Hokland Hegdahl,1071
51,Nicky Skybytskyi,1065
52,Sean Yawning,1054
53,Mathis Hammel ,1051
54,glguy,1034
55,Gorane7,1027
56,@AlexSkidanov,1025
57,TimHuisman1703,1023
58,connorjayr,1002
59,secemp9,993
60,vstrimaitis,983
61,Verulean,981
62,Zack Lee,976
63,Jasper van Merle,959
64,Zeyu Chen,950
65,tenth,940
66,Ryan O’Hara,936
67,Daniel Yang,900
68,Thomas Feld,897
68,grhkm21,897
70,Anthony Li,896
71,mrkeldon,888
72,mangoqwq,879
73,Gabriel Wu,870
74,qpwoeirut,868
75,Epiphane,864
76,Jimmy Mårdell,806
77,Craig Gidney,802
78,david-why,781
79,Justin Yokota,775
80,David Sharick,759
81,Kuma-TachiRen,741
82,msullivan,732
83,the-chenergy,727
84,phenomist,723
85,Shawn Hagler,721
86,evanphoward,720
86,SeptaCube,720
88,WutPu,718
89,Gregor Kikelj,713
90,Anango Prabhat,708
91,rhendric,707
92,bcc32,699
93,Alexander Haupt,689
94,Måns Magnusson,687
95,Xavier Rene Plourde,683
96,Vince7778,668
97,Liresol,654
98,Mercerenies,651
98,coolcomputery,651
100,Cody Carlsen ,643
101,Tristan Sharma,640
102,Роман Курмаев,639
103,Etienne Vouga,637
104,Kye W. Shi,632
105,penteract,629
106,Pi-Hsun Shih,626
107,Dylan Smith,624
108,Kirby703,623
109,etotheipi1,620
110,Kevin Wang,619
111,Starwort,618
112,PoustouFlan,599
113,anonymous user #1067586,583
114,jebouin,576
115,eagely,573
116,0e4ef622,572
117,Alexey Shmelev,568
118,Ahmed Siadomar,567
119,Also looking 4 an internship! ,557
119,Patrick Hogg,557
121,Koen Oostveen,552
122,zach1502,551
123,eniraa,541
124,ZED.Charley William Thairo,538
125,S. Teikn Smith,536
126,Defelo,531
127,Brian Liu,527
128,Lief,526
129,Daniel Gu,513
129,thuustalu,513
131,DayDun,507
131,qwewqa,507
133,seligman99,499
134,shakespeare1564 ,489
135,tung491,486
136,Level 51,478
137,Aaron ,471
137,yusent,471
139,anonymous user #637942,470
139,Timothy Mou,470
141,Carl Oscar Aaro,467
141,Jeffrey H.,467
143,Clancy Woodburn,465
143,Thomas,465
145,Robin Allen,464
146,milesman34,463
146,anonymous user #3487639,463
148,bradleysigma,460
149,anonymous user #1759814,457
150,ttalvitie,455
151,James Sorenson,447
152,Maarten Sijm,446
153,mdlu,445
154,Robert Pham,444
