position,user,score
1,xiaowuc1,3257
2,tckmn,2978
3,5space,2727
4,Antonio Molina ,2476
5,jonathanpaulson,2401
6,bluepichu,2370
7,nthistle,2356
8,leijurv,2285
9,dan-simon,2249
10,hyper-neutrino,2226
11,boboquack,2186
12,Ian DeHaan,2092
13,Noble Mushtak,2046
14,D. Salgado,2020
15,Anish Singhani,1964
16,Oliver Ni,1930
17,Oskar Haarklou Veileborg,1830
18,Carl Schildkraut,1799
19,Robert Xiao,1691
20,Lewin Gan,1638
21,ruuddotorg,1586
22,mserrano,1567
23,Balint R,1520
24,Kroppeb,1507
25,Oleksandr Nikitin,1503
26,mrphlip,1500
27,Nathan Fenner,1492
28,nim-ka,1481
29,Kevin Sheng,1391
30,scanhex,1376
31,zacharybarbanell,1375
32,Egor Kulikov ,1347
33,anonymous user #1510407,1340
34,Joseph Durie,1330
35,Neal Wu,1299
36,Erik Amirell Eklöf,1275
37,Lovemathboy H,1274
38,Yoshiap,1254
39,Adavya Goyal,1247
40,PCSwingle,1236
41,Ryan Hitchman,1177
42,Jan Verbeek,1171
43,Vladislav Isenbaev,1156
44,Thomas Neill,1132
45,Looking for blog readers!,1101
46,int-e,1079
47,Magnus Hokland Hegdahl,1071
48,Sean Yawning,1054
49,Mathis Hammel ,1051
50,LegionMammal978,1039
51,glguy,1034
52,Gorane7,1027
53,@AlexSkidanov,1025
54,TimHuisman1703,1023
55,connorjayr,1002
56,secemp9,993
57,vstrimaitis,983
58,Verulean,981
59,Davis Yoshida ,977
60,Nicky Skybytskyi,972
61,Zeyu Chen,950
62,Ross Dempsey,944
63,tenth,940
64,Ryan O’Hara,936
65,Thomas Feld,897
65,grhkm21,897
67,Anthony Li,896
68,mrkeldon,888
69,mangoqwq,874
70,Gabriel Wu,870
71,qpwoeirut,868
72,Zack Lee,866
73,Epiphane,864
74,Jimmy Mårdell,806
75,Jasper van Merle,789
76,david-why,781
77,Justin Yokota,775
78,David Sharick,759
79,Kuma-TachiRen,741
80,msullivan,732
81,the-chenergy,727
82,phenomist,723
83,Shawn Hagler,721
84,SeptaCube,720
85,WutPu,718
86,Gregor Kikelj,713
87,Daniel Yang,712
88,Anango Prabhat,708
89,rhendric,707
90,bcc32,699
91,Alexander Haupt,689
92,Måns Magnusson,687
93,Xavier Rene Plourde,683
94,Vince7778,668
95,Liresol,654
96,Mercerenies,651
96,coolcomputery,651
98,Cody Carlsen ,643
99,Craig Gidney,642
100,Tristan Sharma,640
101,Роман Курмаев,639
102,Etienne Vouga,637
103,Kye W. Shi,632
104,penteract,629
105,Pi-Hsun Shih,626
106,Dylan Smith,624
107,Kirby703,623
108,etotheipi1,620
109,Kevin Wang,619
110,Starwort,618
111,evanphoward,611
112,PoustouFlan,599
113,anonymous user #1067586,583
114,jebouin,576
115,eagely,573
116,0e4ef622,572
117,Alexey Shmelev,568
118,Ahmed Siadomar,567
119,Also looking 4 an internship! ,557
119,Patrick Hogg,557
121,Koen Oostveen,552
122,eniraa,541
123,ZED.Charley William Thairo,538
124,S. Teikn Smith,536
125,Defelo,531
126,Brian Liu,527
127,Lief,526
128,Daniel Gu,513
128,thuustalu,513
130,DayDun,507
130,qwewqa,507
132,seligman99,499
133,shakespeare1564 ,489
134,tung491,486
135,Level 51,478
136,Aaron ,471
136,yusent,471
138,anonymous user #637942,470
138,Timothy Mou,470
140,Carl Oscar Aaro,467
141,Clancy Woodburn,465
141,Thomas,465
143,milesman34,463
143,anonymous user #3487639,463
145,bradleysigma,460
146,anonymous user #1759814,457
147,ttalvitie,455
148,Jeffrey H.,446
149,mdlu,445
150,Robert Pham,444
